buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	213894.0	-226318.2038362024
2026-01-01	2026-03-01	209414.0	-349240.6803600624
2026-01-01	2026-04-01	205119.0	-333414.2220541276
2026-01-01	2026-05-01	200996.0	-402162.3041335574
2026-01-01	2026-06-01	197036.0	-457384.4713800509
2026-01-01	2026-07-01	193228.0	-483413.4784112953
2026-01-01	2026-08-01	189565.0	-441763.0337637572
2026-01-01	2026-09-01	186039.0	-429480.57168669184
2026-01-01	2026-10-01	182641.0	-409396.52026661776
2026-01-01	2026-11-01	179365.0	-335612.1571316478
2026-01-01	2026-12-01	176204.0	-266941.7019307188
2026-02-01	2026-03-01	231533.0	-280507.2050828221
2026-02-01	2026-04-01	226294.0	-264602.00246592483
2026-02-01	2026-05-01	221286.0	-341812.57148840185
2026-02-01	2026-06-01	216495.0	-403793.7712244892
2026-02-01	2026-07-01	211908.0	-433477.84396566026
2026-02-01	2026-08-01	207510.0	-388919.5869323479
2026-02-01	2026-09-01	203292.0	-376571.6405086868
2026-02-01	2026-10-01	199241.0	-355715.6620765618
2026-02-01	2026-11-01	195349.0	-276405.12061213143
2026-02-01	2026-12-01	191606.0	-202867.6775667733
2026-03-01	2026-04-01	266468.0	-134044.37206230924
2026-03-01	2026-05-01	259552.0	-227995.9758371064
2026-03-01	2026-06-01	252986.0	-303304.4776876424
2026-03-01	2026-07-01	246743.0	-340345.3188956557
2026-03-01	2026-08-01	240802.0	-290883.49016359483
2026-03-01	2026-09-01	235140.0	-278905.47156018636
2026-03-01	2026-10-01	229738.0	-257102.24762796165
2026-03-01	2026-11-01	224578.0	-168138.57068514128
2026-03-01	2026-12-01	219645.0	-86217.71897585389
2026-04-01	2026-05-01	255700.0	-239453.4871948881
2026-04-01	2026-06-01	249325.0	-313386.48687114025
2026-04-01	2026-07-01	243260.0	-349660.1923063055
2026-04-01	2026-08-01	237483.0	-300658.0608852026
2026-04-01	2026-09-01	231974.0	-288614.2984450685
2026-04-01	2026-10-01	226714.0	-266876.85827385343
2026-04-01	2026-11-01	221688.0	-178841.95117466885
2026-04-01	2026-12-01	216880.0	-97720.38969099279
2026-05-01	2026-06-01	277404.0	-236060.22887232137
2026-05-01	2026-07-01	269916.0	-278395.4313609898
2026-05-01	2026-08-01	262822.0	-226037.8248397766
2026-05-01	2026-09-01	256091.0	-214652.60146134553
2026-05-01	2026-10-01	249697.0	-192559.90436957666
2026-05-01	2026-11-01	243614.0	-97628.39537042279
2026-05-01	2026-12-01	237820.0	-10605.757735499057
2026-06-01	2026-07-01	297630.0	-204305.29734389906
2026-06-01	2026-08-01	289027.0	-148868.25665785218
2026-06-01	2026-09-01	280908.0	-138547.82508109792
2026-06-01	2026-10-01	273233.0	-116451.83461255867
2026-06-01	2026-11-01	265966.0	-14834.469489006726
2026-06-01	2026-12-01	259075.0	77820.6380486715
2026-07-01	2026-08-01	305765.0	-99579.8676972968
2026-07-01	2026-09-01	296693.0	-90141.80040054186
2026-07-01	2026-10-01	288144.0	-68234.60354661869
2026-07-01	2026-11-01	280074.0	37422.54381167377
2026-07-01	2026-12-01	272443.0	133434.74660409303
2026-08-01	2026-09-01	279954.0	-141474.19424528128
2026-08-01	2026-10-01	272330.0	-119371.36398005103
2026-08-01	2026-11-01	265110.0	-18003.50736012277
2026-08-01	2026-12-01	258263.0	74443.02837264152
2026-09-01	2026-10-01	269730.0	-127777.95608911388
2026-09-01	2026-11-01	262646.0	-27131.721122208986
2026-09-01	2026-12-01	255924.0	64711.184676036944
2026-10-01	2026-11-01	256873.0	-48516.41063719183
2026-10-01	2026-12-01	250440.0	41893.971621365956
2026-11-01	2026-12-01	226466.0	-57842.08576457909
