recipe_slug	score_bound
falafel	2.2708773873360144
spamburger	1.9465902370031944
bacon-fried-rice	2.8430652945536896
chicken-fingers	2.705357709542297
apple-crisp	2.759067049058057
cranberry-apple-crisp	2.8055712381369657
bacon-chocolate-chip-cookies	2.6614812649774606
sujebi	1.9187369270471084
pasta-primavera	1.9443901715485925
ramen	2.4178145287148642
brownies	2.7814696770874114
bacon-wrapped-scallops	2.7196609661511575
bacon-egg-muffins	2.7418807005254027
breakfast-burritos	2.5679416356822076
bolognese-sauce	2.465561863705364
croissants	2.541048998120258
bacon-souffle	2.455671649398431
souffle	2.2435179752329844
chocolate-souffle	2.313678137170603
butter-croissants	2.198772208447593
pickled-green-beans	2.0763947612899076
fried-oysters	1.8789610695476973
peanut-butter-brownies	2.6027816946775824
almond-chip-cookies	2.055140357680686
guacamole	2.752418200914313
brioche-bread	2.5516446565503434
brioche-bread-with-chocolate	2.6948725436640792
asparagus-quiche	1.8257135516451848
asparagus-burger	1.8715651113587908
ma-la-chicken	1.9391372240642932
cold-noodles-with-tomatoes	1.876241699966548
tamales	1.9492936634748352
enchiladas	2.1133098481279537
tacos	2.5441912919453316
burritos	2.69904939397071
peanut-butter-cupcakes	2.745938849503357
pickled-asparagus	1.851677575664632
chocolate-peanut-butter-cake	2.68659166316525
udon	2.4417408309862103
vegetable-lasagna	1.7593405831619986
maple-bacon-donuts	2.7484385841399694
maple-bacon-pancakes	2.6980392479065096
spinach-and-ricotta-stuffed-shells	2.0148750658022916
quesadillas	2.608588006245724
pico-de-gallo	2.2417272931117656
nachos	2.69807381872831
cold-soba-noodles-with-tomato-and-cucumber	1.890118937707749
fajitas	2.5857114944185318
loaded-nachos	2.4790365621898474
lasagna	2.232636277644654
chicken-nuggets	2.7835856802438315
pain-au-chocolat	2.839104369347136
nacho-dip	2.4259645673277435
nacho-salad	1.8990631613359483
nacho-casserole	2.096325096816621
nacho-fries	2.1241240403578923
tempura-udon	2.5011248110193667
peach-crisp	2.66311210265568
apple-pie	2.829599609580894
blueberry-crisp	2.520476224822413
berry-crumble	2.3471458329976937
strawberry-rhubarb-crisp	2.8082112255520775
peach-cobbler	2.6027612158953026
cranberry-sauce	2.209414929968108
cherry-cobbler	2.267036394510405
apple-crumble	2.853898832440919
chocolate-croissants	2.6032306445723243
french-toast	2.620591280497133
chocolate-babka	2.829949219455426
cinnamon-babka	2.396084970398746
blueberry-crumble	2.1626024324518656
spam-musubi	1.9135785787227952
taco-salad	1.9066266648059056
chiles-rellenos	2.0331423308329146
almond-croissants	2.0895133242143182
cranberry-relish	1.8760815966347741
ma-la-beef	2.080589231851026
chocolate-cake	2.649083022740056
spinach-quiche	2.035306874203493
mushroom-quiche	2.0762042208086084
quiche-lorraine	1.9638825436935887
croissant-aux-amandes	2.112805644231613
danishes	2.3252640219222713
spinach-and-feta-quiche	2.020688373763449
cold-sesame-noodles	1.8708670614354614
soba-noodle-salad-with-peanut-dressing	2.211336367437484
dan-dan-noodles	2.338023776658849
vanilla-souffle	2.300636790392988
bacon-wrapped-dates	2.755783901232689
cherry-pie	2.4591277825069042
berry-crisp	2.3235230830258304
bacon-and-egg-breakfast-sandwich	2.7097255147230976
bacon-wrapped-shrimp-skewers	2.7615237166460584
bacon-wrapped-chicken	2.839646467082292
bacon-wrapped-asparagus	2.7912447370023377
bacon-mac-and-cheese	2.796246170348662
chicken-alfredo-lasagna	2.6263814436439668
classic-beef-lasagna	2.5699032253773497
vegetarian-mushroom-lasagna	1.9477742724925564
spinach-and-ricotta-lasagna	1.966998435352656
