recipe_slug	score_estimate
falafel	0.5046220133884917
spamburger	0.05225423239975657
bacon-fried-rice	0.9769084060072268
chicken-fingers	0.9112420407306439
apple-crisp	0.9827253116967164
cranberry-apple-crisp	0.979446401124639
bacon-chocolate-chip-cookies	0.9733258047594031
sujebi	0.09384221800548097
pasta-primavera	0.2593547581995711
ramen	0.5068196859225186
brownies	1.0076252742926495
bacon-wrapped-scallops	0.9437823681586535
bacon-egg-muffins	0.9626945628880279
breakfast-burritos	0.757170453189159
bolognese-sauce	0.707913350497732
croissants	0.71966343322236
bacon-souffle	0.919978735483031
souffle	0.4902484935546482
chocolate-souffle	0.7674618326985106
butter-croissants	0.677007186018536
pickled-green-beans	0.2718865598657249
fried-oysters	0.10198523118608291
peanut-butter-brownies	0.9640147253168935
almond-chip-cookies	0.33168197829052887
guacamole	0.8967289500054034
brioche-bread	0.7149056517693734
brioche-bread-with-chocolate	1.0090093520536285
asparagus-quiche	0.014681111663354077
asparagus-burger	0.0075628839324820285
ma-la-chicken	0.06143687906506039
cold-noodles-with-tomatoes	-0.0038227677335326282
tamales	0.07666518946862286
enchiladas	0.314234400767825
tacos	0.6987370269532379
burritos	0.9227347796004648
peanut-butter-cupcakes	0.9660263622257412
pickled-asparagus	0.09962208620618641
chocolate-peanut-butter-cake	1.00456600012363
udon	0.6719999158115167
vegetable-lasagna	0.2924684629507273
maple-bacon-donuts	0.991302489676819
maple-bacon-pancakes	0.9520933590705587
spinach-and-ricotta-stuffed-shells	0.4598578607277161
quesadillas	0.7400223089462478
pico-de-gallo	0.4874572444240048
nachos	0.9033514361440449
cold-soba-noodles-with-tomato-and-cucumber	0.10294055914923658
fajitas	0.7377265938179741
loaded-nachos	0.6879244844057311
lasagna	0.5740144395049007
chicken-nuggets	0.9356468507868764
pain-au-chocolat	0.9504146695342347
nacho-dip	0.6828064585403956
nacho-salad	0.07544368624188957
nacho-casserole	0.34654724727031194
nacho-fries	0.27124950537199544
tempura-udon	0.7072505240401262
peach-crisp	0.9763278576640876
apple-pie	0.9793471449752185
blueberry-crisp	0.931447753739336
berry-crumble	0.8570951135936227
strawberry-rhubarb-crisp	0.9482993223030558
peach-cobbler	0.8884664953611475
cranberry-sauce	0.4193952822243762
cherry-cobbler	0.6172159119090497
apple-crumble	0.9842266151225445
chocolate-croissants	0.9615884158194694
french-toast	0.8966591218405237
chocolate-babka	0.9803128015017992
cinnamon-babka	0.7694354663792589
blueberry-crumble	0.5808705910580567
spam-musubi	0.04983434752066254
taco-salad	0.06093033596886978
chiles-rellenos	0.2578951479989613
almond-croissants	0.38365775489786663
cranberry-relish	0.0860619488910429
ma-la-beef	0.2625484223532078
chocolate-cake	0.9718695439567625
spinach-quiche	0.3272159116214956
mushroom-quiche	0.2251101821116197
quiche-lorraine	0.1623344318808455
croissant-aux-amandes	0.26911348553764924
danishes	0.5237822180200902
spinach-and-feta-quiche	0.2522928547162352
cold-sesame-noodles	0.07752530104106128
soba-noodle-salad-with-peanut-dressing	0.4214447030019125
dan-dan-noodles	0.4622925804848874
vanilla-souffle	0.4974408857313469
bacon-wrapped-dates	1.0226546231354359
cherry-pie	0.7258219803025185
berry-crisp	0.6469288212204138
bacon-and-egg-breakfast-sandwich	0.9323240550233073
bacon-wrapped-shrimp-skewers	0.9362349914390593
bacon-wrapped-chicken	1.0001695008061702
bacon-wrapped-asparagus	0.9789957271694869
bacon-mac-and-cheese	0.9746916068608138
chicken-alfredo-lasagna	0.8583084698587093
classic-beef-lasagna	0.8594101316094882
vegetarian-mushroom-lasagna	0.357653692320494
spinach-and-ricotta-lasagna	0.2633359925236218
