recipe_slug	rating
falafel	0.5
spamburger	0.0
bacon-fried-rice	1.0
chicken-fingers	1.0
apple-crisp	1.0
cranberry-apple-crisp	1.0
bacon-chocolate-chip-cookies	1.0
sujebi	0.0
pasta-primavera	0.25
ramen	0.5
brownies	1.0
bacon-wrapped-scallops	1.0
bacon-egg-muffins	1.0
breakfast-burritos	0.75
bolognese-sauce	0.75
croissants	0.75
bacon-souffle	1.0
souffle	0.5
chocolate-souffle	0.75
butter-croissants	0.75
pickled-green-beans	0.25
fried-oysters	0.0
peanut-butter-brownies	1.0
almond-chip-cookies	0.25
guacamole	1.0
brioche-bread	0.75
brioche-bread-with-chocolate	1.0
asparagus-quiche	0.0
asparagus-burger	0.0
ma-la-chicken	0.0
cold-noodles-with-tomatoes	0.0
tamales	0.0
enchiladas	0.25
tacos	0.75
burritos	1.0
peanut-butter-cupcakes	1.0
pickled-asparagus	0.0
chocolate-peanut-butter-cake	1.0
udon	0.75
vegetable-lasagna	0.25
maple-bacon-donuts	1.0
maple-bacon-pancakes	1.0
spinach-and-ricotta-stuffed-shells	0.5
quesadillas	0.75
pico-de-gallo	0.5
nachos	1.0
cold-soba-noodles-with-tomato-and-cucumber	0.0
fajitas	0.75
loaded-nachos	0.75
lasagna	0.5
chicken-nuggets	1.0
pain-au-chocolat	1.0
nacho-dip	0.75
nacho-salad	0.0
nacho-casserole	0.25
nacho-fries	0.25
tempura-udon	0.75
peach-crisp	1.0
apple-pie	1.0
blueberry-crisp	1.0
berry-crumble	1.0
strawberry-rhubarb-crisp	1.0
peach-cobbler	1.0
cranberry-sauce	0.5
cherry-cobbler	0.5
apple-crumble	1.0
chocolate-croissants	1.0
french-toast	1.0
chocolate-babka	1.0
cinnamon-babka	0.75
blueberry-crumble	0.5
spam-musubi	0.0
taco-salad	0.0
chiles-rellenos	0.25
almond-croissants	0.25
cranberry-relish	0.0
ma-la-beef	0.25
chocolate-cake	1.0
spinach-quiche	0.25
mushroom-quiche	0.25
quiche-lorraine	0.0
croissant-aux-amandes	0.25
danishes	0.5
spinach-and-feta-quiche	0.25
cold-sesame-noodles	0.0
soba-noodle-salad-with-peanut-dressing	0.5
dan-dan-noodles	0.5
vanilla-souffle	0.5
bacon-wrapped-dates	1.0
cherry-pie	0.75
berry-crisp	0.5
bacon-and-egg-breakfast-sandwich	1.0
bacon-wrapped-shrimp-skewers	1.0
bacon-wrapped-chicken	1.0
bacon-wrapped-asparagus	1.0
bacon-mac-and-cheese	1.0
chicken-alfredo-lasagna	1.0
classic-beef-lasagna	1.0
vegetarian-mushroom-lasagna	0.25
spinach-and-ricotta-lasagna	0.25
